serialId,polishTitle,originalTitle,year,fullRating,voteCount,voteDate,userRating,favorite,comment
10004652,Stamtąd,From,2022,7.49493,56141,2024-07-19,8,nie,
878089,Miasto jest nasze,We Own This City,2022,6.91149,4248,2024-07-09,8,nie,
10049575,Kono Subarashii Sekai ni Shukufuku o! 3,Kono Subarashii Sekai ni Shukufuku o! 3,2024,7.17978,89,2024-07-01,8,nie,
484288,Totalna porażka,Total Drama,2007,7.60598,12078,2024-05-13,8,nie,
153161,Pohamuj entuzjazm,Curb Your Enthusiasm,2000,7.93177,3532,2024-05-06,8,nie,
10050192,Reniferek,Baby Reindeer,2024,7.11705,67576,2024-05-01,8,nie,
867454,Fallout,Fallout,2024,7.70691,71169,2024-04-22,9,nie,
10011724,Spy x Family,Spy x Family,2022,7.83447,1903,2024-04-01,7,nie,
829257,Hazbin Hotel,Hazbin Hotel,2019,7.69829,1634,2024-03-10,8,nie,
10042461,Hazbin Hotel,Hazbin Hotel,2024,7.62938,5793,2024-03-10,8,nie,
10025008,Szōgun,Shōgun,2024,7.75041,44089,2024-03-09,8,nie,
10033878,Świat mnie nie pokona,Questo mondo non mi renderà cattivo,2023,7.37643,1222,2024-02-10,7,nie,
10030916,Nocny agent,The Night Agent,2023,6.94311,15926,2024-01-24,6,nie,
10033460,Scott Pilgrim zaskakuje,Scott Pilgrim Takes Off,2023,7.45189,2089,2023-12-03,8,nie,
10014243,The Bear,The Bear,2022,7.67549,49739,2023-09-30,8,nie,
634404,Mirai Nikki,Mirai Nikki,2011,7.64276,6371,2023-06-29,6,nie,
426887,Shinreigari: Ghost Hound,Shinreigari: Ghost Hound,2007,7.2165,291,2023-06-22,8,nie,
98661,Kenpū Denki Berserk,Kenpū Denki Berserk,1997,8.26646,8568,2023-03-06,8,nie,
607039,Bez tajemnic,Bez tajemnic,2011,7.69271,12327,2023-02-25,9,nie,
870925,Joe Pera opowiada,Joe Pera Talks with You,2018,8.37558,434,2023-02-18,8,nie,
834936,Nierealne,The Nevers,2021,6.56014,2278,2023-02-14,8,nie,
698544,Kyōsōgiga,Kyōsōgiga,2013,7,70,2023-02-13,5,nie,
849662,The Last of Us,The Last of Us,2023,7.61763,112377,2023-02-12,8,nie,
10013452,Chensō Man,Chensō Man,2022,7.88644,4315,2022-12-15,7,nie,
877761,Wednesday,Wednesday,2022,7.36017,127767,2022-12-04,6,nie,
801312,Devilman Crybaby,Devilman Crybaby,2018,7.37218,5449,2022-11-15,7,nie,
10014569,Entergalactic,Entergalactic,2022,7.1665,1964,2022-10-15,8,nie,
856325,Cyberpunk: Edgerunners,Cyberpunk: Edgerunners,2022,8.00731,26282,2022-09-18,7,tak,
801294,Sora Yorimo Tōi Basho,Sora Yorimo Tōi Basho,2017,7.6383,188,2022-08-09,7,nie,
846151,Eizōken ni wa Te o Dasu na!,Eizōken ni wa Te o Dasu na!,2020,7.49296,142,2022-07-28,9,nie,
10008098,Odd Taxi,Odd Taxi,2021,7.79752,242,2022-07-23,7,nie,
426889,Mononoke,Mononoke,2007,8.09609,2633,2022-07-21,8,tak,
304524,NHK ni Yōkoso!,NHK ni Yōkoso!,2006,8.05709,2032,2022-07-19,6,nie,
531034,Darker Than Black: Ryūsei no Gemini,Darker Than Black: Ryūsei no Gemini,2009,7.34078,2418,2022-07-14,5,nie,
565604,Darker than Black - Kuro no Keiyakusha: Gaiden,Darker than Black - Kuro no Keiyakusha: Gaiden,2010,7.54402,1079,2022-07-11,5,nie,
878161,Rozdzielenie,Severance,2022,8.20564,61516,2022-06-09,8,nie,
118719,NieA under 7,NieA under 7,2000,6.83636,55,2022-05-17,6,nie,
10007988,Ōsama Ranking,Ōsama Ranking,2021,7.52083,240,2022-04-07,5,nie,
396030,Brama piekieł,Darker Than Black - Kuro no Keiyakusha,2007,7.92435,5909,2022-04-03,6,nie,
867712,Zielona planeta,Green Planet,2022,8.60068,293,2022-03-02,10,nie,
129544,Haibane Renmei: Stowarzyszenie Szaropiórych,Haibane Renmei,2002,7.99014,2130,2022-02-23,8,tak,
470038,Kaiba,Kaiba,2008,7.14241,316,2022-02-17,10,nie,
10002179,Legenda Vox Machiny,The Legend of Vox Machina,2022,8.02372,8432,2022-02-14,7,nie,
870863,David Attenborough: Życie w kolorze,Attenborough's Life in Colour,2021,7.85461,1919,2022-01-24,9,nie,
871671,Kono Subarashii Sekai ni Shukufuku o! 2,Kono Subarashii Sekai ni Shukufuku o! 2,2017,7.26383,235,2022-01-17,7,nie,
820846,FLCL Progressive,FLCL Progressive,2018,5.57407,54,2022-01-16,5,nie,
747022,Kono Subarashii Sekai ni Shukufuku o!,Kono Subarashii Sekai ni Shukufuku o!,2016,7.35139,1588,2022-01-15,6,nie,
665315,Kyousougiga,Kyousougiga,2012,7.34211,38,2022-01-14,8,nie,
815544,FLCL Alternative,FLCL Alternative,2018,5.36667,30,2022-01-12,3,nie,
604847,Początki życia według Davida Attenborough,First Life,2010,8.02963,270,2022-01-11,7,nie,
